"Products by Quantity Range","Products by Quantity Range"
"Add to Cart","Add to Cart"
Availability,Availability
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Learn More","Learn More"
"Magevolve Extensions","Magevolve Extensions"
Basic,Basic
"Enable Extension","Enable Extension"
"Enable extension.","Enable extension."
"Magevolve Products by Quantity Range List","Magevolve Products by Quantity Range List"
"List of products which are in a specified quantity range.","List of products which are in a specified quantity range."
"Display Block Title","Display Block Title"
"Select yes if you would like to show and customize block title.","Select yes if you would like to show and customize block title."
"The title of the Block","The title of the Block"
"'Products by Quantity Range' by default, if not set.","'Products by Quantity Range' by default, if not set."
"Display Short Description","Display Short Description"
"Select yes if you would like to show and customize short description.","Select yes if you would like to show and customize short description."
"Short Description under Block Title","Short Description under Block Title"
"You can set a short description which will appear under the title if not empty. You can use HTML tags for formatting.","You can set a short description which will appear under the title if not empty. You can use HTML tags for formatting."
"Display Page Control","Display Page Control"
"Select yes if you would like to use the pager.","Select yes if you would like to use the pager."
"Number of Products per Page","Number of Products per Page"
"5 by default.","5 by default."
"Products minimum quantity limit to Display","Products minimum quantity limit to Display"
"1 by default. This value must be greater than zero.","1 by default. This value must be greater than zero."
"Products maximal quantity limit to Display","Products maximal quantity limit to Display"
"10 by default.","10 by default."
"Number of Products to Display","Number of Products to Display"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Please select the default sorting.","Please select the default sorting."
"Creation Date","Creation Date"
Name,Name
Price,Price
"Available Direction","Available Direction"
"Please select the default sorting direction.","Please select the default sorting direction."
Asc,Asc
Desc,Desc
"Show Configurable Products","Show Configurable Products"
"Show configurable products which have associated simple products whose current quantity between the defined range.","Show configurable products which have associated simple products whose current quantity between the defined range."
"Show Grouped Products","Show Grouped Products"
"Show grouped products which have associated simple products whose current quantity between the defined range.","Show grouped products which have associated simple products whose current quantity between the defined range."
"Show Bundle Products","Show Bundle Products"
"Show bundle products which have associated simple products whose current quantity between the defined range.","Show bundle products which have associated simple products whose current quantity between the defined range."
Template,Template
"Please select the template to use.","Please select the template to use."
"Products Grid Template","Products Grid Template"
"Products List Template","Products List Template"
"Products Images and Names Template","Products Images and Names Template"
"Products Names Only Template","Products Names Only Template"
"Products Images Only Template","Products Images Only Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
